message,label
"cannot imagine like that, shut up",Not Flirt
"its very strange, close it",Not Flirt
"Hey, stranger. Stop being a stranger.",Flirt
" Morning, you! Hope you’re having a good day!",Flirt
Never mind,Not Flirt
Nobody gets me like you do,Flirt
This is me asking you out. Want to get coffee on Saturday?,Flirt
Come over. Now. Nobody is here except me.,Flirt
I wish you were here next to me right now.,Flirt
Hey! Stop thinking about me so much!,Flirt
I had a dream about you last night.,Flirt
I suck at starting conversations. You want to try?,Flirt
 Netflix and chill?,Flirt
Do you have any plans for this weekend? Because I don’t.,Flirt
How about we cozy up and watch a movie tonight?,Flirt
All I’ve thought about all day is your mouth,Flirt
"Come over, I have all your favorites. Pizza, beer, and of course, ME",Flirt
"I was just looking through your Instagram and not gonna lie, you’re lookin’ fine",Flirt
Every message you send me is like a small gift.,Flirt
Any lunch plans today? Thought I could swing by and we could eat together!,Flirt
Can we just call in sick tomorrow and spend the whole day together,Flirt
Be honest. How long have you been waiting for a text from me?,Flirt
How have you gone so long without messaging me? I’m such a delight,Flirt
You never text first. I can’t tell if you hate me or if you’re playing hard to get.,Flirt
What does your week look like? Any room for me?,Flirt
How have you gone so long without messaging me? I’m such a delight.,Flirt
Be honest. How long have you been waiting for a text from me?,Flirt
Let’s skip the small talk and go straight to flirting.,Flirt
I  absolutely adore you. Just FYI.,Flirt
"I had a dream we were sexting, so I woke up and decided to turn it into a reality.",Flirt
You look great today. How do I know? Because you look good every day.,Flirt
Every time I close my eyes you are the only thing I see.,Flirt
Did you smile when you saw my name pop up on your phone just now?,Flirt
You’re the piece of me I didn’t know was missing,Flirt
You are so amazing. Never doubt that.,Flirt
"I’m a little drunk, a little horny, and all alone.",Flirt
 I am sooo hungry right now…thing is…I don’t want food.,Flirt
I keep thinking about how good you look the last time we were together.,Flirt
Why are you so cute?,Flirt
You have no idea how much I want to see you right now!,Flirt
Let’s go on an adventure together. Want to try a new hike this weekend?,Flirt
You’re hot. I think I like you.,Flirt
"If you want to make a move, today would be the perfect time to go for it",Flirt
You looked really cute last night.,Flirt
I’m sorry you’re having a crappy day. Anything I can do to make it better?,Flirt
"You make me feel important, and I love that!",Flirt
I absolutely adore you.,Flirt
I can NOT stop thinking about you and your smile.,Flirt
All my friends told me they wish they had a guy like you,Flirt
"We’re hanging out tonight, just so you know.",Flirt
I have no idea what I would do without you.,Flirt
sorry cannot come to meet you,Not Flirt
"its boring, change the topic",Not Flirt
I have work in office cannot make it tonight,Not Flirt
Can’t talk right now. Out with the guys,Not Flirt
Where have you been?,Not Flirt
we need to talk,Not Flirt
Here’s what you can look forward to tonight!”,Not Flirt
"I guess, I will be late tonight",Not Flirt
Why haven’t you texted me back yet?,Not Flirt
why are you so upset,Not Flirt
"I don’t think we have a ton in common, and I’d hate to waste your time",Not Flirt
"Wishing you the best, though!”",Not Flirt
"“It was nice meeting you, ",Not Flirt
" I had a fun time,",Not Flirt
 I think I feel a more friendly vibe between us than romantic.”,Not Flirt
 Good luck with everything!,Not Flirt
I think that we have different priorities ,Not Flirt
Hey! Thanks for your time,Not Flirt
"“It’s been cool getting to know you,",Not Flirt
I am looking for more than just a hookup.,Not Flirt
 I just don’t see this working.”,Not Flirt
"It was really nice meeting you,",Not Flirt
Thanks for dinner the other night!,Not Flirt
not really interested in going on another date,Not Flirt
Best of luck to you,Not Flirt
I loved spending time with you,Not Flirt
I don’t think it’s going to work in the long run.”,Not Flirt
 don’t think we’re compatible.”,Not Flirt
"I had a lot of fun with you,",Not Flirt
 I think I get more of a friend vibe between us,Not Flirt
It’s been super fun hanging out with you,Not Flirt
"I would love to still hang out, if you’re down!”",Not Flirt
“I think you’re really cool ,Not Flirt
don’t think I’m in the same place as you are right now.,Not Flirt
 I’d love to continue hanging out as friends though!”,Not Flirt
"I  think you’re great, ",Not Flirt
we just want different things and I don’t think it’s going to work,Not Flirt
"It’s been nice getting to know you,",Not Flirt
"the more time we spend together,it will not set",Not Flirt
more I realize we’re just on different pages.”,Not Flirt
I have a lot going on right now ,Not Flirt
just need to focus on myself.,Not Flirt
Thanks for understanding!,Not Flirt
"Sorry, I just don’t think we have enough in common to keep seeing each other.”",Not Flirt
" I’m not super ready for a relationship, I’m sorry!”",Not Flirt
"You’re great, but I don’t really feel a romantic connection.”",Not Flirt
"your sun in Virgo and mine in Gemini, ",Not Flirt
I cannot date someone whose values are so different from mine.,Not Flirt
I hope you find what you're looking for.”,Not Flirt
"I think you’re really sweet, but I met someone else",Not Flirt
I want to focus on that. Sorry!”,Not Flirt
"“Thanks for hanging out the other night, ",Not Flirt
